t,k,v,q,exporter,importer
2018,391510,11.2138376315009,4.23,BGD,DEU
2018,391590,11.7765993931742,21.252,BGD,DEU
2018,391590,32.7348011888396,52.154,BGD,HKG
2018,391590,51.8736113557405,129.769,BGD,KOR
2018,391510,8.06725521692899,80.07,BGD,MYS
2018,391590,568.671062845042,631.978,BGD,TWN
2018,391510,1.16539669087269,20.12,BGD,THA
2018,391590,26.5671349946082,279.372,BGD,THA
2018,391590,42.799383249873,64,BGD,TUR
2018,391590,68.426037319,234.24,BGD,USA
2018,391510,59.6967628089061,169.378511676105,ARM,RUS
2018,391590,73.3264260534873,109.98,ARM,RUS
2018,391590,6.013,19.233,BRB,BGD
2018,391590,80.644,319.594,BRB,CAN
2018,391590,35.9,336.04,BRB,CHN
2018,391590,12.9183854054394,59.018,BRB,HKG
2018,391530,9.09065869168786,16.329,BRB,USA
2018,391590,15.9869890197094,98.0011583977401,BRB,USA
2018,391590,19.51,37.02,BEL,DZA
2018,391590,524.594057779299,1022.23958276969,BEL,AUS
2018,391510,214.287276243808,426.761914147681,BEL,AUT
2018,391520,11.217,37.304,BEL,AUT
2018,391530,2.278,11.525,BEL,AUT
2018,391590,447.417147944459,913.742553506482,BEL,AUT
2018,391510,14.99,40.28,BEL,BGD
2018,391530,38.402,111.46,BEL,BGD
2018,391590,168.786,566.01,BEL,BGD
2018,391530,20.098,47.92,BEL,BRA
2018,391510,558.42547511863,4792.51533558449,BEL,BGR
2018,391590,141.912,431.227,BEL,BGR
2018,391510,4.932,27.8,BEL,CAN
2018,391530,6.094,18.5,BEL,CAN
2018,391590,2063.94842088089,2372.16667108835,BEL,CAN
2018,391510,356.443997577164,1062.61015487836,BEL,CHN
2018,391520,3.346,15.16,BEL,CHN
2018,391530,12.131,48.74,BEL,CHN
2018,391590,941.350077355588,3038.44108328939,BEL,CHN
2018,391510,173.530199463127,136.007417950136,BEL,HRV
2018,391590,86.502,153.99,BEL,HRV
2018,391510,307.249301877382,855.576548065373,BEL,CZE
2018,391530,692.394890590008,1362.9917128752,BEL,CZE
2018,391590,26.7072957670023,167.84702983533,BEL,CZE
2018,391520,49.983,64.888,BEL,DNK
2018,391590,83.7249387939762,185.596244163948,BEL,DNK
2018,391510,29.4188253426973,57.1997605928434,BEL,FIN
2018,391590,7.42621159419612,7.75169341005736,BEL,FIN
2018,391510,7203.98106335538,14348.9895110871,BEL,FRA
2018,391520,611.869155094899,1433.68412211696,BEL,FRA
2018,391530,338.997707580919,390.503220936262,BEL,FRA
2018,391590,11152.6836318393,18353.582600558,BEL,FRA
2018,391510,10546.3689069339,31267.2408973591,BEL,DEU
2018,391520,282.256258823438,141.931186711625,BEL,DEU
2018,391530,304.520693353288,425.929195964414,BEL,DEU
2018,391590,5377.45457219444,8838.7972442904,BEL,DEU
2018,391590,5.525,16.393,BEL,GHA
2018,391510,313.349458622757,119.156195229655,BEL,GRC
2018,391590,23.118,24.18,BEL,GRC
2018,391510,2847.75402907897,13580.3801662414,BEL,HKG
2018,391520,600.093948561092,883.188181942792,BEL,HKG
2018,391530,73.8803691716523,128.207338886057,BEL,HKG
2018,391590,4348.5807856151,9255.81646639653,BEL,HKG
2018,391510,240.476,548.583,BEL,HUN
2018,391510,2260.7676243417,12674.2007462577,BEL,IDN
2018,391530,29.794,92.98,BEL,IDN
2018,391590,125.062269728367,574.918649914391,BEL,IDN
2018,391510,237.661,259.515,BEL,IRL
2018,391530,175.74,201.713,BEL,IRL
2018,391590,503.97438054164,525.046487664907,BEL,IRL
2018,391510,92.351,211.283,BEL,ISR
2018,391590,15.511,44.457,BEL,ISR
2018,391510,4519.92481667791,8289.65333430782,BEL,ITA
2018,391520,27.154,40.331,BEL,ITA
2018,391590,2583.11953380714,3900.67319277261,BEL,ITA
2018,391590,14.453570603264,23.7182794260772,BEL,JPN
2018,391510,300.581665221419,705.739560728931,BEL,KOR
2018,391520,68.2239070690172,312.786447127199,BEL,KOR
2018,391530,977.787470023306,4755.71788551762,BEL,KOR
2018,391590,303.410384463554,1078.91755738885,BEL,KOR
2018,391590,8.69988066306511,21.503850656371,BEL,KWT
2018,391510,175.767311936272,678.676593687526,BEL,LBN
2018,391510,328.109,818.149,BEL,LVA
2018,391510,669.49219339148,4294.54044333884,BEL,LTU
2018,391590,178.110733693741,299.124681033431,BEL,LTU
2018,391510,4296.76107684956,19110.0356202809,BEL,MYS
2018,391520,284.275,1276.96,BEL,MYS
2018,391530,118.416398436381,1404.39543055969,BEL,MYS
2018,391590,2766.42628419868,11592.1505213251,BEL,MYS
2018,391530,245.673,462.94,BEL,MEX
2018,391590,168.722240287762,366.950363824035,BEL,MEX
2018,391510,3944.06165000203,15354.9681362233,BEL,TWN
2018,391520,210.828514679629,391.316979015272,BEL,TWN
2018,391530,12.2789472710679,55.8215297721812,BEL,TWN
2018,391590,1049.00360069326,2190.36679655334,BEL,TWN
2018,391590,53.833,147.175,BEL,MAR
2018,391510,17.3954601116725,30.6448085823924,BEL,OMN
2018,391590,17.6853823553863,49.2030700277673,BEL,OMN
2018,391510,25185.2156349651,111150.409901689,BEL,NLD
2018,391520,824.916800517809,1308.55218405,BEL,NLD
2018,391530,169.976312887223,1033.21932060622,BEL,NLD
2018,391590,22918.7517663389,42928.2785354689,BEL,NLD
2018,391590,44.4349269169992,108.139083008697,BEL,NZL
2018,391590,1.584,13.22,BEL,NGA
2018,391510,706.042841872995,3350.11877776825,BEL,PAK
2018,391530,988.414911278346,2580.53,BEL,PAK
2018,391590,1467.84956414103,3967.04332403264,BEL,PAK
2018,391510,4.927,27.28,BEL,PHL
2018,391590,26.9819938570976,93.9098707009612,BEL,PHL
2018,391510,2052.41596576304,4214.78329175909,BEL,POL
2018,391520,41.681,87.5,BEL,POL
2018,391530,112.65006754669,107.363392501902,BEL,POL
2018,391590,329.97471248979,413.875920143525,BEL,POL
2018,391510,666.382518671548,3561.37778731941,BEL,PRT
2018,391590,605.800180710397,501.444071562833,BEL,PRT
2018,391590,3.835,16.01,BEL,QAT
2018,391510,175.332032213098,437.180137662795,BEL,ROU
2018,391590,235.748902246623,357.469185046618,BEL,ROU
2018,391510,4.549,8.94,BEL,RUS
2018,391520,7.278,8.94,BEL,RUS
2018,391590,28.508562132748,119.803695254511,BEL,RUS
2018,391510,58.094,190.12,BEL,SAU
2018,391590,228.986863955304,653.08590485156,BEL,SAU
2018,391510,241.259,198.018,BEL,SRB
2018,391510,3936.42430138151,14213.8012455635,BEL,IND
2018,391530,472.218652996688,1384.58977817604,BEL,IND
2018,391590,1472.2349634791,4903.21548921441,BEL,IND
2018,391510,34.321,136.26,BEL,SGP
2018,391530,3.292,25.34,BEL,SGP
2018,391590,48.6872214664295,229.913605443765,BEL,SGP
2018,391510,95.056,349.787,BEL,SVK
2018,391530,48.919,98.72,BEL,SVK
2018,391590,225.050580369312,19.723,BEL,SVK
2018,391510,3142.996,13221.8,BEL,VNM
2018,391520,13.772,40.38,BEL,VNM
2018,391530,21.611,149.25,BEL,VNM
2018,391590,3821.215,14170.93,BEL,VNM
2018,391510,1818.41511542265,10319.0317232067,BEL,SVN
2018,391590,165.542091912318,64.8969279434661,BEL,SVN
2018,391590,9.52385335693292,13.2668063915685,BEL,ZAF
2018,391510,591.071225898106,777.015075103754,BEL,ESP
2018,391520,349.739,474.735,BEL,ESP
2018,391530,107.128987506084,348.234,BEL,ESP
2018,391590,344.915303842587,980.879315781505,BEL,ESP
2018,391510,82.447,102.897,BEL,SWE
2018,391530,1.461,0.072,BEL,CHE
2018,391590,29.9388863091065,69.9032638143319,BEL,CHE
2018,391510,39.6417217594989,224.320564947784,BEL,THA
2018,391590,142.258635967537,547.331968566504,BEL,THA
2018,391590,19.154,0.53,BEL,TGO
2018,391510,71.715,348.04,BEL,ARE
2018,391590,217.269331474346,1407.08219168418,BEL,ARE
2018,391510,8797.80517468914,45494.0402914717,BEL,TUR
2018,391520,404.676942099127,1477.16656620052,BEL,TUR
2018,391530,129.31810329693,482.047123723836,BEL,TUR
2018,391590,3200.96025267997,16841.4018708775,BEL,TUR
2018,391510,50.16,115.3,BEL,UKR
2018,391590,3.284,22.54,BEL,UKR
2018,391510,40.338,118.76,BEL,MKD
2018,391590,31.008940983974,108.7057905437,BEL,MKD
2018,391590,47.443,100.37,BEL,EGY
2018,391510,2097.46032337889,2985.10022145042,BEL,GBR
2018,391520,10.3928702598148,40.7164306183652,BEL,GBR
2018,391530,48.3329226250645,69.0432560524781,BEL,GBR
2018,391590,1950.61298875379,3851.35905172827,BEL,GBR
2018,391510,64.0656360238589,19.1322921311733,BEL,USA
2018,391530,213.447763615661,448.939948239607,BEL,USA
2018,391590,2635.64203155559,7123.57577407528,BEL,USA
2018,391510,164.214741648723,658.471246912108,BOL,BRA
2018,391510,35.6810543616588,44,BOL,CHL
2018,391590,38.2510410562136,84.397697687495,BOL,PER
2018,391510,63.651,78.576,BOL,USA
2018,391590,104.072873120417,137.93,BOL,USA
2018,391510,5.42366360675642,15.0021395423866,BIH,AUT
2018,391530,222.581827348756,303.502634990821,BIH,AUT
2018,391590,26.253,48.68,BIH,AUT
2018,391590,41.574,78.567,BIH,BEL
2018,391510,611.320062335972,2213.57853491503,BIH,HRV
2018,391520,25.4249454701112,33.7992975928836,BIH,HRV
2018,391530,2.81187860375551,3.36,BIH,HRV
2018,391590,224.194617375312,703.83981559588506,BIH,HRV
2018,391590,6.40605083426824,7.462,BIH,CZE
2018,391510,1.49,6.028,BIH,DEU
2018,391520,34.361,14.46,BIH,DEU
2018,391530,61.7956724364571,111.403360641326,BIH,DEU
2018,391590,65.0092120065423,126.476099254332,BIH,DEU
2018,391530,81.5307345994453,138.066,BIH,ITA
2018,391590,12.3647320197044,20.2620049675189,BIH,ITA
2018,391510,4.17618346824419,24.12,BIH,MNE
2018,391530,4.346,4.64,BIH,POL
2018,391510,79.7919804558569,279.976668613508,BIH,SRB
2018,391530,106.47112207187,276.363841585229,BIH,SRB
2018,391590,96.5091764886231,362.203620219839,BIH,SRB
2018,391510,199.646156164589,774.679692546305,BIH,SVN
2018,391590,179.602858761231,586.979184328236,BIH,SVN
2018,391510,8.98337720359178,7.212,BRA,AUT
2018,391590,47.0649082732201,25.9086389293646,BRA,CHL
2018,391510,13.7567523810773,17.604,BRA,ECU
2018,391590,2.12650589485241,0.324,BRA,ECU
2018,391590,1.5924030662489,4.89338141722594,BRA,DEU
2018,391520,69.15,88,BRA,HKG
2018,391510,77.6760533212822,222.919,BRA,ISR
2018,391590,58.0529558294165,309.156512336068,BRA,ISR
2018,391590,2.23089031843279,1.20368681511147,BRA,ITA
2018,391510,13.5766466516412,45.151,BRA,MYS
2018,391520,76.868,66.898,BRA,MEX
2018,391590,28.5632985784071,59.7733963002877,BRA,MEX
2018,391590,20.6414735853704,200,BRA,NLD
2018,391510,13.086,9.025,BRA,PRY
2018,391520,87.3093780553721,251.577219887974,BRA,PRY
2018,391590,168.679023314587,508.663052692522,BRA,PRY
2018,391590,15.8101396357029,0.296,BRA,QAT
2018,391590,18.8421723048308,47.5964720997329,BRA,ESP
2018,391590,241.050538044436,256.626378658869,BRA,GBR
2018,391590,701.928287496596,551.110919636082,BRA,USA
2018,391510,2.312,0.181,BRA,URY
2018,391520,36.6357193459463,101.417601844144,BRA,URY
2018,391590,6.64832546961691,6.71158108471227,BRA,URY
2018,391530,1.109,11,BLZ,CHN
2018,391510,38.955,72.711,BLZ,GTM
2018,391510,59.8433840913638,287.605,BLZ,HKG
2018,391590,4.27986071755689,11.685,BLZ,HKG
2018,391590,11.9466232796921,95.772,BLZ,MYS
2018,391590,2.41885474160287,50.7733215423933,BLZ,TWN
2018,391510,38.898,281.675,BLZ,USA
2018,391590,17.6999671107791,55.123732192719,BLZ,USA
2018,391520,2.12560662394936,3.2,SLB,NZL
2018,391590,19.8119434075826,37.807,VGB,AUS
2018,391510,22.5876186698611,40.672,BRN,KOR
2018,391520,5.186,26,BRN,MYS
2018,391590,28.453,196.589,BRN,MYS
2018,391590,14.699696774411,21.939004539706,BRN,TWN
2018,391590,27.453,109,BRN,SGP
2018,391590,2.40417250597498,26.281,BRN,THA
2018,391590,17.327,24.51,BGR,AUS
2018,391530,4.35061090178297,14.328,BGR,AUT
2018,391590,69.436671844739,37.016807508173,BGR,BEL
2018,391520,7.877,49.48,BGR,CHN
2018,391590,31.678,66.6,BGR,CHN
2018,391590,1.682,0.044,BGR,HRV
2018,391590,51.31,189.42,BGR,EST
2018,391510,17.6954640423581,48.436,BGR,FRA
2018,391510,28.8495480977457,22.2710048689966,BGR,DEU
2018,391590,16.9001745161513,44.9156982027144,BGR,DEU
2018,391510,292.402599953342,215.234742115243,BGR,GRC
2018,391530,13.508801284387,30.56,BGR,GRC
2018,391590,613.422903275277,591.210322270713,BGR,GRC
2018,391590,9.5775502325039,21.6674247415039,BGR,HKG
2018,391510,155.35,182.898,BGR,ITA
2018,391510,20.29,86.02,BGR,LVA
2018,391590,17.972,59.423,BGR,LVA
2018,391590,7.185,67.7,BGR,MYS
2018,391510,7.73909202118134,19.6,BGR,TWN
2018,391510,20.8540413957599,50.294,BGR,NLD
2018,391520,2.76628478516576,4.939,BGR,NLD
2018,391590,52.4941144960008,106.045,BGR,NLD
2018,391530,8.39104761999609,23.13,BGR,PAK
2018,391510,9.01654290591174,16.56,BGR,POL
2018,391590,8.25,55.765,BGR,POL
2018,391510,976.067069361117,2362.41801866846,BGR,ROU
2018,391520,15.9462407427531,33.08,BGR,ROU
2018,391530,1.13240345163953,1.325,BGR,ROU
2018,391590,1434.70108399444,2021.24492011739,BGR,ROU
2018,391510,25.326,46.18,BGR,SRB
2018,391520,2.293,23.94,BGR,IND
2018,391590,47.9923648059333,192.300902452387,BGR,IND
2018,391590,42.417,78.108,BGR,SVK
2018,391510,5.145,39.66,BGR,VNM
2018,391590,20.764,121.54,BGR,VNM
2018,391590,208.905,276.94,BGR,SVN
2018,391520,80.7154215229097,90.243,BGR,ESP
2018,391590,1.11436492611636,13.853,BGR,THA
2018,391510,73.2995670918466,174.929278952821,BGR,TUR
2018,391520,32.7239925487843,109.418739127405,BGR,TUR
2018,391530,6.65200724985482,18.56,BGR,TUR
2018,391590,3540.72005603421,5867.83530648339,BGR,TUR
2018,391510,21.7382654351723,26.64,BGR,MKD
2018,391530,19.7272038546635,59.06,BGR,MKD
2018,391590,5.4730669917002,2.72476311873415,BGR,MKD
2018,391530,1.353,0.015,BGR,EGY
2018,391510,2236.48,2825.9,MMR,CHN
2018,391590,8670.511,7442.368,MMR,CHN
2018,391530,3.207,35.64,MMR,MYS
2018,391510,1.8,0.025,MMR,SGP
2018,391520,45.836,300,MMR,THA
2018,391530,89.222,685.9,MMR,THA
2018,391590,12.7537596516275,105.759903320841,MMR,THA
2018,391590,1.1018015290543,27.9305996703446,BDI,KEN
2018,391590,10.6995859857931,25,BDI,UGA
2018,391590,16.2,18.02,BLR,BEL
2018,391520,40.1000856819406,53.992,BLR,CZE
2018,391590,9.40022577340046,23.5189794537431,BLR,DEU
2018,391520,1.4,12.42,BLR,LVA
