iso3c,region_id,country_name,income_level,gdp,total_msw,recycled,waste_generation,mismanagement_rate,region,sub_region,C1_rate,population,gdp_per_capita,fraction_recycling_chemical,C2_rate,I_mismanagement_min,I_mismanagement_max
LAO,EAS,Lao PDR,LMC,11102149874.6903,351900,0.1,22232.24,0.62,Asia,South-eastern Asia,NA,6663967,1665.9971267400183,0,NA,0.25,0.75
LBN,MEA,Lebanon,UMC,42911390491.6894,2040000,0.08,247112.35,0.31,Asia,Western Asia,NA,5603279,7658.264114938664,0,NA,0.25,0.75
LCA,LCN,St. Lucia,UMC,1489854701.38327,77616.228,NA,17239.42,0.051,Americas,Latin America and the Caribbean,NA,177206,8407.473231060292,0,NA,0,0
LKA,SAS,Sri Lanka,LMC,79907042295.2414,2631650,0.12789999999999999,180701.08,0.87,Asia,Southern Asia,NA,21203000,3768.666806359543,0,NA,0.25,0.75
MAC,EAS,"Macao SAR, China",HIC,31920853731.7088,377942,0.2,29857.42,0.82,NA,NA,NA,612167,52144.02888706644,0,NA,0.25,0.75
MAR,MEA,Morocco,LMC,114783961362.676,6852000,0.08,570101.6,0.56,Africa,Northern Africa,0.25,34318082,3344.707940341071,0,0.25,0.25,0.75
MDA,ECS,Moldova,LMC,7354798041.3823,3981200,0.1532,462287.4,0.8668,Europe,Eastern Europe,NA,3554108,2069.3794452454176,0,NA,0.25,0.75
MDG,SSF,Madagascar,LIC,10356200860.8807,3768759.16,NA,282656.93,0.987,Africa,Sub-Saharan Africa,NA,24894551,416.0027172565072,0,NA,0.25,0.75
MDV,SAS,Maldives,UMC,3600398617.55349,211505.78,NA,6739.89,0.89,Asia,Southern Asia,NA,409163,8799.423744457563,0,NA,0.25,0.75
MEX,LCN,Mexico,UMC,1259036981370.62,53100000,0.05,5902490.28,0.23,Americas,Latin America and the Caribbean,0.24,125890949,10001.012712761583,0,0.24,0.25,0.75
MHL,EAS,Marshall Islands,UMC,179041793.905222,8614,0.308,1126.58,0.652,Oceania,Micronesia,NA,52793,3391.392682840945,0,NA,0.25,0.75
MKD,ECS,"Macedonia, FYR",UMC,10924716121.9693,796585,0.0018,110725.32,0.2693,Europe,Southern Europe,NA,2081206,5249.223825978447,0,NA,0.25,0.75
MMR,EAS,Myanmar,LMC,74469832820.4068,4677306.52914,NA,856961.03,1,Asia,South-eastern Asia,NA,46095462,1615.5567075215952,0,NA,0.25,0.75
MNE,ECS,Montenegro,UMC,4662831375.96385,332000,0.0542,62543.64,0.9658,Europe,Southern Europe,NA,622159,7494.597644595433,0,NA,0.25,0.75
MNG,EAS,Mongolia,LMC,11825367386.7456,2900000,NA,420500,1,Asia,Eastern Asia,NA,3027398,3906.1158746704596,0,NA,0.25,0.75
MNP,EAS,Northern Mariana Islands,HIC,1051785359.80149,32761.4145,0.36,5102.13,0.66,Oceania,Micronesia,NA,54036,19464.53030945092,0,NA,0.25,0.75
