country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,,,,,,,,,,,,,,,
Andorra,HIC,77297.00,4926.12,43594.00,11.30, 63.73 ,49.9,,,,,,,,,,,,,,,
Comoros,LIC,795592.00,4656.70,93134.00,5.00, 5.85 ,NR,,,,,,,,,,,,,,,
Vanuatu,LMC,278330.00,4529.51,70225.00,6.45, 16.27 ,65,,,,,,,,,,,,,,,
Antigua and Barbuda,HIC,94527.00,4321.07,33239.00,13.00, 45.71 ,3.24,,,,,,,,,,,,,,,
Curacao,HIC,159664.00,3973.38,31787.00,12.50, 24.89 ,100,,,,,,,,,,,,,,,
Samoa,UMC,194535.00,3765.32,28964.00,13.00, 19.36 ,35,,,,,,,,,,,,,,,
Palau,HIC,17725.00,3016.64,9427.00,32.00, 170.19 ,NR,,,,,,,,,,,,,,,
Gibraltar,HIC,33737.00,2975.49,18761.00,15.86, 88.20 ,NR,,,,,,,,,,,,,,,
French Polynesia,HIC,274575.00,2791.70,139585.00,2.00, 10.17 ,63,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,UMC,109459.00,2667.92,31761.00,8.40, 24.37 ,30.5775,,,,,,,,,,,,,,,
Sao Tome and Principe,LMC,203227.00,2645.90,26999.00,9.80, 13.02 ,NR,,,,,,,,,,,,,,,
British Virgin Islands,HIC,29355.00,2643.48,41960.00,6.30, 90.05 ,21.7,,,,,,,,,,,,,,,
American Samoa,UMC,55741.00,2430.59,18989.00,12.80, 43.61 ,NR,,,,,,,,,,,,,,,
St. Martin (French part),HIC,36065.00,2415.25,19322.00,12.50, 66.97 ,NR,,,,,,,,,,,,,,,
Tonga,UMC,101133.00,2391.77,17849.00,13.40, 23.65 ,72,,,,,,,,,,,,,,,
Dominica,UMC,71307.00,2166.72,13542.00,16.00, 30.39 ,8,,,,,,,,,,,,,,,
Liechtenstein,HIC,37658.00,1916.24,35486.00,5.40, 50.89 ,37.4,,,,,,,,,,,,,,,
Greenland,HIC,56186.00,1286.42,53601.00,2.40, 22.90 ,2,,,,,,,,,,,,,,,
Marshall Islands,UMC,57735.00,1126.58,8666.00,13.00, 19.51 ,65.2,,,,,,,,,,,,,,,
San Marino,HIC,33504.00,961.80,17175.00,5.60, 28.71 ,56.95,,,,,,,,,,,,,,,
Nauru,UMC,13049.00,888.36,5384.00,16.50, 68.08 ,NR,,,,,,,,,,,,,,,
Tuvalu,UMC,11225.00,658.19,3989.00,16.50, 58.64 ,87,,,,,,,,,,,,,,,
Monaco,HIC,38070.00,506.85,50685.00,1.00, 13.31 ,11.6,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),HIC,39969.00,NR,NR,13.00, NR ,NR,,,,,,,,,,,,,,,
Turks and Caicos Islands,HIC,36559.00,NR,NR,16.30, NR ,NR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
