country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,iso3_digit_alpha
Qatar,HIC,2654374,167331.5,1195225,14,63.04,0.02,QAT
Ethiopia,LIC,103603501,154742.64,6727941,2.3,1.49,1,ETH
Bosnia and Herzegovina,UMC,3386267,141878.59,1261143,11.25,41.9,0.6932903,BIH
Trinidad and Tobago,HIC,1377564,140173.53,731213,19.17,101.75,0.892,TTO
Uruguay,HIC,3424132,139881.06,1271646,11,40.85,0.218,URY
Lithuania,HIC,2868231,134042.52,1320616,10.15,46.73,0.0339,LTU
Jamaica,UMC,2906238,128306.79,1051695,12.2,44.15,0.38,JAM
Kyrgyz Republic,LMC,6079500,126058.84,1120523,11.25,20.74,1,KGZ
Cameroon,LMC,23926539,119518.01,3621758,3.3,5,0.823,CMR
Togo,LIC,7509952,116945.5,1169455,10,15.57,0.982,TGO
Slovenia,HIC,2065042,115628,943902,12.25,55.99,0.0815,SVN
Uzbekistan,LMC,31847900,115565.38,4622615,2.5,3.63,1,UZB
Mauritania,LMC,4163534,114598.4,572992,20,27.52,0.567,MRT
Albania,UMC,2876101,113098.66,1178111,9.6,39.32,NA,ALB
"Macedonia, FYR",UMC,2080745,110725.32,796585,13.9,53.21,0.2693,MKD
Malawi,LIC,17205289,106140.3,1415204,7.5,6.17,NA,MWI
Papua New Guinea,LMC,8271760,105240.8,1052408,10,12.72,0.39,PNG
Burundi,LIC,10487998,103253.15,2950090,3.5,9.84,NA,BDI
Benin,LIC,10872067,102301.18,1401386,7.3,9.41,0.77,BEN
Cambodia,LMC,15766293,99747.87,1159859,8.6,6.33,1,KHM
Chad,LIC,14561666,98746.14,1645769,6,6.78,NA,TCD
Estonia,HIC,1315790,88500.29,475808,18.6,67.26,0.1489,EST
"Congo, Rep.",LMC,4980999,87635.23,894237,9.8,17.59,0.758,COG
Niger,LIC,20788838,85628.3,4281415,2,4.12,0.98,NER
Central African Republic,LIC,4537687,83041.35,1107218,7.5,18.3,NA,CAF
Cyprus,HIC,1170187,81473.39,551614,14.77,69.62,0.0958,CYP
Czech Republic,HIC,10566332,74572.56,3389662,2.2,7.06,0.0201,CZE
Denmark,HIC,5728010,72896.39,4527726,1.61,12.73,0.0202,DNK
Bahrain,HIC,1425791,70443.78,951943,7.4,49.41,0.02,BHR
Latvia,HIC,1959537,66600.07,864936,7.7,33.99,0.1765,LVA
Luxembourg,HIC,582014,64973.52,360964,18,111.64,0.0228,LUX
Montenegro,UMC,622303,62543.64,339542,18.42,100.5,0.9658,MNE
Sierra Leone,LIC,7328838,62190.45,829206,7.5,8.49,NA,SLE
Eritrea,LIC,4955000,58068.68,774249,7.5,11.72,NA,ERI
Armenia,UMC,2936146,57174.19,501528,11.4,19.47,1,ARM
Mauritius,UMC,1263473,54254.34,437535,12.4,42.94,0.02,MUS
Liberia,LIC,4586788,54221.18,722949,7.5,11.82,NA,LBR
Norway,HIC,5234519,49877.98,2216799,2.25,9.53,0.0342,NOR
Namibia,UMC,2358041,49176.11,501797,9.8,20.85,0.975,NAM
Iceland,HIC,335439,48571.74,539686,9,144.8,0.1114,ISL
Mali,LIC,17965429,44151.78,2207589,2,2.46,NA,MLI
Solomon Islands,LMC,619437,42950.44,192172,22.35,69.34,1,SLB
Finland,HIC,5495303,40158.85,2769576,1.45,7.31,0.0201,FIN
Gabon,UMC,2007873,39585.24,403931,9.8,19.72,NA,GAB
Guinea,LIC,11738441,37646.76,941169,4,3.21,0.97,GIN
Kosovo,LMC,1816200,35560.91,323281,11,19.58,0.3557,NA
Brunei Darussalam,HIC,419800,34600.48,216253,16,82.42,0.3,BRN
"Bahamas, The",HIC,377931,34312.98,263946,13,90.79,NA,BHS
"Micronesia, Fed. Sts.",LMC,110215,33974.16,129821,26.17,308.25,NA,FSM
Malta,HIC,455356,32453.04,270442,12,71.27,0.0535,MLT
Barbados,HIC,285796,30569.16,178767,17.1,106.96,0.03,BRB
"Macao SAR, China",HIC,612836,29857.42,377942,7.9,48.72,0.82,MAC
Guyana,UMC,771366,28749.75,202463,14.2,37.27,0.554325,GUY
Georgia,LMC,3727505,25637.31,854577,3,6.88,NA,GEO
Botswana,UMC,2159944,24741.28,252462,9.8,11.45,1,BWA
"Gambia, The",LIC,2149139,22631.33,301751,7.5,10.53,NA,GMB
Guinea-Bissau,LIC,1782437,22323,297640,7.5,12.52,NA,GNB
Lao PDR,LMC,6845846,22232.24,364463,6.1,3.25,0.62,LAO
Virgin Islands (U.S.),HIC,107510,22193.6,170720,13,206.43,NA,VIR
Bhutan,LMC,736709,19844.11,152647,13,26.94,0.02,BTN
Belize,UMC,368400,19463.6,102440,19,52.83,0.68,BLZ
Equatorial Guinea,UMC,1215179,19447.41,198443,9.8,16,NA,GNQ
Djibouti,LMC,929112,17521.29,152359,11.5,18.86,NA,DJI
New Caledonia,HIC,276550,17504.19,106086,16.5,63.29,NA,NCL
St. Lucia,UMC,180024,17239.42,78361,22,95.76,0.051,LCA
Guam,HIC,162951,16684.32,134551,12.4,102.39,0.2015,GUM
Fiji,UMC,872399,15470.78,206277,7.5,17.73,0.5755,FJI
Aruba,HIC,104872,13898.63,111189,12.5,132.53,0.91,ABW
Cabo Verde,LMC,531146,13706.67,139864,9.8,25.81,NA,CPV
Bermuda,HIC,64555,13293.93,102261,13,205.93,0.02,BMU
Turkmenistan,UMC,5662372,12399.82,566202,2.19,2.19,0.27,TKM
Timor-Leste,LMC,1219288,10539.38,63875,16.5,8.64,NA,TLS
Suriname,UMC,564888,9086.99,82609,11,16.09,1,SUR
Lesotho,LMC,2075001,8622.14,87981,9.8,4.16,NA,LSO
Cayman Islands,HIC,62569,8375.51,76141,11,133.86,0.81,CYM
Faeroe Islands,HIC,48173,8070.55,65882,12.25,167.53,0.35,FRO
St. Kitts and Nevis,HIC,51625,7744.16,33380,23.2,150.01,0.02,KNA
Maldives,UMC,475513,6739.89,224663,3,14.17,0.89,MDV
